fill_time,close_time,symbol,side,setup,r_multiple,entry_balance
2025-04-21T08:30:00+00:00,2025-04-22T16:00:00+00:00,EURUSD,buy,london_breakout,-1.0000,50000.00
2025-04-22T16:15:00+00:00,2025-04-22T16:30:00+00:00,EURUSD,buy,london_breakout,-1.0000,49750.00
2025-04-23T00:00:00+00:00,2025-04-23T12:00:00+00:00,AUDUSD,buy,failed_breakout_fade,2.4853,49501.25
2025-04-23T13:30:00+00:00,2025-04-23T14:15:00+00:00,USTEC,buy,ny_momentum,0.0000,50116.37
2025-04-23T13:30:00+00:00,2025-04-23T14:15:00+00:00,US500,buy,ny_momentum,0.0000,50116.37
2025-04-24T08:00:00+00:00,2025-04-25T12:00:00+00:00,AUDUSD,buy,failed_breakout_fade,1.5000,50116.37
2025-04-24T17:00:00+00:00,2025-04-24T22:00:00+00:00,XAUUSD,sell,gold_pullback,-1.0000,50116.37
2025-04-25T07:00:00+00:00,2025-04-25T16:00:00+00:00,XAUUSD,sell,gold_pullback,1.9999,49865.79
2025-04-25T08:00:00+00:00,2025-04-25T16:00:00+00:00,USDJPY,sell,failed_breakout_fade,0.0000,49865.79
2025-04-25T13:30:00+00:00,2025-04-25T16:30:00+00:00,USTEC,sell,ny_momentum,-1.0000,50241.66
2025-04-28T04:00:00+00:00,2025-04-28T07:00:00+00:00,XAUUSD,sell,gold_pullback,0.0000,50489.08
2025-04-28T07:45:00+00:00,2025-04-28T09:15:00+00:00,EURUSD,buy,london_breakout,0.0000,50489.08
2025-04-29T04:00:00+00:00,2025-04-30T04:00:00+00:00,AUDUSD,sell,failed_breakout_fade,1.5000,50489.08
2025-04-29T07:30:00+00:00,2025-04-29T10:30:00+00:00,EURUSD,sell,london_breakout,-1.0000,50489.08
2025-04-29T11:00:00+00:00,2025-04-29T12:00:00+00:00,XAUUSD,buy,gold_pullback,-1.0000,50236.63
2025-04-30T05:00:00+00:00,2025-04-30T11:00:00+00:00,XAUUSD,sell,gold_pullback,2.1998,50364.11
2025-04-30T16:00:00+00:00,2025-05-01T08:00:00+00:00,AUDUSD,buy,failed_breakout_fade,1.5000,50918.06
2025-05-01T08:00:00+00:00,2025-05-01T16:00:00+00:00,EURUSD,buy,failed_breakout_fade,0.0000,51299.95
2025-05-01T08:00:00+00:00,2025-05-01T16:00:00+00:00,GBPUSD,buy,failed_breakout_fade,1.5000,51299.95
2025-05-01T08:00:00+00:00,2025-05-01T11:00:00+00:00,EURUSD,sell,london_breakout,-1.0000,51299.95
2025-05-01T20:00:00+00:00,2025-05-02T00:00:00+00:00,USDJPY,sell,failed_breakout_fade,-1.0000,51428.20
2025-05-02T00:00:00+00:00,2025-05-02T12:00:00+00:00,GBPUSD,buy,failed_breakout_fade,0.0000,51171.06
2025-05-05T16:00:00+00:00,2025-05-06T00:00:00+00:00,GBPUSD,sell,failed_breakout_fade,2.9306,51171.06
2025-05-05T16:00:00+00:00,2025-05-06T00:00:00+00:00,USDJPY,buy,failed_breakout_fade,2.3980,51171.06
2025-05-06T07:30:00+00:00,2025-05-06T12:00:00+00:00,EURUSD,buy,london_breakout,0.0000,52534.39
2025-05-06T16:00:00+00:00,2025-05-07T00:00:00+00:00,USDJPY,buy,failed_breakout_fade,0.0000,52534.39
2025-05-08T05:00:00+00:00,2025-05-08T08:00:00+00:00,XAUUSD,buy,gold_pullback,-1.0000,52534.39
2025-05-08T12:00:00+00:00,2025-05-08T20:00:00+00:00,GBPUSD,buy,failed_breakout_fade,1.5000,52271.72
2025-05-08T12:00:00+00:00,2025-05-08T16:00:00+00:00,USDJPY,sell,failed_breakout_fade,-1.0000,52271.72
2025-05-09T00:00:00+00:00,2025-05-09T20:00:00+00:00,USDJPY,sell,failed_breakout_fade,2.2757,52402.39
2025-05-09T04:00:00+00:00,2025-05-12T00:00:00+00:00,EURUSD,buy,failed_breakout_fade,0.0000,52402.39
2025-05-09T04:00:00+00:00,2025-05-12T12:00:00+00:00,AUDUSD,buy,failed_breakout_fade,1.5000,52402.39
2025-05-12T00:00:00+00:00,2025-05-12T08:00:00+00:00,USDJPY,sell,failed_breakout_fade,4.9173,52998.65
2025-05-12T04:00:00+00:00,2025-05-12T08:00:00+00:00,EURUSD,buy,failed_breakout_fade,-1.0000,52998.65
2025-05-12T12:00:00+00:00,2025-05-14T04:00:00+00:00,GBPUSD,buy,failed_breakout_fade,2.0452,54429.73
